NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
INTERLEUKIN-10 SIGNALING%REACTOME DATABASE ID RELEASE 93%6783783	INTERLEUKIN-10 SIGNALING%REACTOME DATABASE ID RELEASE 93%6783783	Details ...	24	0.8661102	2.381123	0.0	0.0	0.0	69	tags=71%, list=7%, signal=74%	
OVERVIEW OF PROINFLAMMATORY AND PROFIBROTIC MEDIATORS%WIKIPATHWAYS_20250810%WP5095%HOMO SAPIENS	OVERVIEW OF PROINFLAMMATORY AND PROFIBROTIC MEDIATORS%WIKIPATHWAYS_20250810%WP5095%HOMO SAPIENS	Details ...	39	0.80592495	2.2881389	0.0	0.0	0.0	149	tags=72%, list=15%, signal=81%	
LUNG FIBROSIS%WIKIPATHWAYS_20250810%WP3624%HOMO SAPIENS	LUNG FIBROSIS%WIKIPATHWAYS_20250810%WP3624%HOMO SAPIENS	Details ...	17	0.8551862	2.1828763	0.0	0.0	0.0	58	tags=59%, list=6%, signal=61%	
PID_IL23_PATHWAY%MSIGDB_C2%PID_IL23_PATHWAY	PID_IL23_PATHWAY%MSIGDB_C2%PID_IL23_PATHWAY	Details ...	15	0.8630335	2.1495109	0.0	0.0	0.0	87	tags=67%, list=9%, signal=72%	
SARS COV 2 INNATE IMMUNITY EVASION AND CELL SPECIFIC IMMUNE RESPONSE%WIKIPATHWAYS_20250810%WP5039%HOMO SAPIENS	SARS COV 2 INNATE IMMUNITY EVASION AND CELL SPECIFIC IMMUNE RESPONSE%WIKIPATHWAYS_20250810%WP5039%HOMO SAPIENS	Details ...	23	0.81140864	2.145734	0.0	0.0	0.0	131	tags=65%, list=14%, signal=74%	
IL23-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL23-MEDIATED SIGNALING EVENTS	IL23-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL23-MEDIATED SIGNALING EVENTS	Details ...	15	0.86303353	2.1070688	0.0	1.7388361E-4	0.001	87	tags=67%, list=9%, signal=72%	
CYTOKINE CYTOKINE RECEPTOR INTERACTION%WIKIPATHWAYS_20250810%WP5473%HOMO SAPIENS	CYTOKINE CYTOKINE RECEPTOR INTERACTION%WIKIPATHWAYS_20250810%WP5473%HOMO SAPIENS	Details ...	45	0.72781926	2.077688	0.0	5.9845333E-4	0.004	147	tags=53%, list=15%, signal=60%	
PHOTODYNAMIC THERAPY INDUCED NF KB SURVIVAL SIGNALING%WIKIPATHWAYS_20250810%WP3617%HOMO SAPIENS	PHOTODYNAMIC THERAPY INDUCED NF KB SURVIVAL SIGNALING%WIKIPATHWAYS_20250810%WP3617%HOMO SAPIENS	Details ...	17	0.8236062	2.0628445	0.0	5.236467E-4	0.004	149	tags=82%, list=15%, signal=96%	
HEPATITIS B INFECTION%WIKIPATHWAYS_20250810%WP4666%HOMO SAPIENS	HEPATITIS B INFECTION%WIKIPATHWAYS_20250810%WP4666%HOMO SAPIENS	Details ...	17	0.8122579	2.0594292	0.0	4.6546373E-4	0.004	131	tags=65%, list=14%, signal=74%	
NETWORK MAP OF SARS COV 2 SIGNALING%WIKIPATHWAYS_20250810%WP5115%HOMO SAPIENS	NETWORK MAP OF SARS COV 2 SIGNALING%WIKIPATHWAYS_20250810%WP5115%HOMO SAPIENS	Details ...	42	0.7164839	2.0556083	0.0	4.1891733E-4	0.004	131	tags=48%, list=14%, signal=53%	
